Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Quantity,Segment,Country,City,State,Discount,Profit,Product ID,Category,Sub-Category,Product Name,Sales
1,CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,2,Consumer,United States,Henderson,Kentucky,0,41.9136,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
2,CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,3,Consumer,United States,Henderson,Kentucky,0,219.582,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,CA-2016-138688,06-12-2016,6/16/2016,Second Class,DV-13045,2,Corporate,United States,Los Angeles,California,0,6.8714,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335,5,Consumer,United States,Fort Lauderdale,Florida,0.45,-383.031,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335,2,Consumer,United States,Fort Lauderdale,Florida,0.2,2.5164,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368
6,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,7,Consumer,United States,Los Angeles,California,0,14.1694,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,4,Consumer,United States,Los Angeles,California,0,1.9656,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28
8,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,6,Consumer,United States,Los Angeles,California,0.2,90.7152,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
9,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,3,Consumer,United States,Los Angeles,California,0.2,5.7825,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,5,Consumer,United States,Los Angeles,California,0,34.47,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,9,Consumer,United States,Los Angeles,California,0.2,85.3092,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184
12,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,4,Consumer,United States,Los Angeles,California,0.2,68.3568,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,3,Consumer,United States,Concord,North Carolina,0.2,5.4432,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552
14,CA-2016-161389,12-05-2016,12-10-2016,Standard Class,IM-15070,3,Consumer,United States,Seattle,Washington,0.2,132.5922,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,5,Home Office,United States,Fort Worth,Texas,0.8,-123.858,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,3,Home Office,United States,Fort Worth,Texas,0.8,-3.816,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,CA-2014-105893,11-11-2014,11/18/2014,Standard Class,PK-19075,6,Consumer,United States,Madison,Wisconsin,0,13.3176,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,2,Consumer,United States,West Jordan,Utah,0,9.99,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
19,CA-2014-143336,8/27/2014,09-01-2014,Second Class,ZD-21925,2,Consumer,United States,San Francisco,California,0,2.4824,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56
20,CA-2014-143336,8/27/2014,09-01-2014,Second Class,ZD-21925,3,Consumer,United States,San Francisco,California,0.2,16.011,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48
21,CA-2014-143336,8/27/2014,09-01-2014,Second Class,ZD-21925,4,Consumer,United States,San Francisco,California,0.2,7.384,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
22,CA-2016-137330,12-09-2016,12/13/2016,Standard Class,KB-16585,7,Corporate,United States,Fremont,Nebraska,0,5.0596,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46
23,CA-2016-137330,12-09-2016,12/13/2016,Standard Class,KB-16585,7,Corporate,United States,Fremont,Nebraska,0,15.6884,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,2,Consumer,United States,Philadelphia,Pennsylvania,0.3,-1.0196,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,3,Consumer,United States,Orem,Utah,0,240.2649,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,2,Consumer,United States,Los Angeles,California,0.2,4.2224,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,3,Consumer,United States,Los Angeles,California,0,11.7741,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,7,Consumer,United States,Philadelphia,Pennsylvania,0.5,-1665.0522,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,2,Consumer,United States,Philadelphia,Pennsylvania,0.7,-7.0532,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,3,Consumer,United States,Philadelphia,Pennsylvania,0.2,15.525,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,2,Consumer,United States,Philadelphia,Pennsylvania,0.2,1.1016,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,6,Consumer,United States,Philadelphia,Pennsylvania,0.2,9.7092,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,6,Consumer,United States,Philadelphia,Pennsylvania,0.7,-5.715,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,2,Consumer,United States,Philadelphia,Pennsylvania,0.2,3.546,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,3,Home Office,United States,Houston,Texas,0.2,9.9468,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472
36,CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,7,Corporate,United States,Richardson,Texas,0.2,123.4737,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544
37,CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,5,Corporate,United States,Richardson,Texas,0.6,-147.963,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,9,Home Office,United States,Houston,Texas,0.2,35.415,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,3,Home Office,United States,Houston,Texas,0.32,-46.9764,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,3,Home Office,United States,Houston,Texas,0.3,-15.147,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,4,Home Office,United States,Houston,Texas,0.2,41.7564,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
42,CA-2017-120999,09-10-2017,9/15/2017,Standard Class,LC-16930,4,Corporate,United States,Naperville,Illinois,0.2,16.5564,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,2,Corporate,United States,Los Angeles,California,0,3.894,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,2,Corporate,United States,Melbourne,Florida,0.2,9.5616,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,CA-2016-118255,03-11-2016,3/13/2016,First Class,ON-18715,2,Corporate,United States,Eagan,Minnesota,0,19.7714,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,CA-2016-118255,03-11-2016,3/13/2016,First Class,ON-18715,2,Corporate,United States,Eagan,Minnesota,0,8.2062,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,4,Consumer,United States,Westland,Michigan,0,8.4784,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
